Nome da Imagem;Data/Hora;Categoria Detectada;Acurácia (Confiança)
captura_150315;2026-03-11 15:03:15;SAUDÁVEL;62.04%
captura_150359;2026-03-11 15:03:59;DOENTE;99.43%
